NYSE,ANF,Abercrombie & Fitch Company Common Stock
NYSE,ANVS,Annovis Bio Inc. Common Stock
NYSE,AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest
NYSE,AOMR,Angel Oak Mortgage Inc. Common Stock
NYSE,AON,Aon plc Class A Ordinary Shares (Ireland)
NYSE,AORT,Artivion Inc. Common Stock
NYSE,AOS,A.O. Smith Corporation Common Stock
NYSE,AP,Ampco-Pittsburgh Corporation Common Stock
NYSE,APAM,Artisan Partners Asset Management Inc. Class A Common Stock
NYSE,APCA,AP Acquisition Corp Class A Ordinary Shares
NYSE,APD,Air Products and Chemicals Inc. Common Stock
NYSE,APG,APi Group Corporation Common Stock
NYSE,APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares
NYSE,APH,Amphenol Corporation Common Stock
NYSE,APLE,Apple Hospitality REIT Inc. Common Shares
NYSE,APN,Apeiron Capital Investment Corp. Class A Common Stock
NYSE,APO,Apollo Global Management Inc. (New) Common Stock
NYSE,APRN,Blue Apron Holdings Inc. Class A Common Stock
NYSE,APTV,Aptiv PLC Ordinary Shares
NYSE,APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares
NYSE,AQN,Algonquin Power & Utilities Corp. Common Shares
NYSE,AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
NYSE,AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
NYSE,AQNU,Algonquin Power & Utilities Corp. Corporate Units
NYSE,AQUA,Evoqua Water Technologies Corp. Common Stock
NYSE,AR,Antero Resources Corporation Common Stock
NYSE,ARC,ARC Document Solutions Inc. Common Stock
NYSE,ARCH,Arch Resources Inc. Class A Common Stock
NYSE,ARCO,Arcos Dorados Holdings Inc. Class A Shares
NYSE,ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
NYSE,ARE,Alexandria Real Estate Equities Inc. Common Stock
NYSE,ARES,Ares Management Corporation Class A Common Stock
NYSE,ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
NYSE,ARGO,Argo Group International Holdings Ltd.
NYSE,ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A
NYSE,ARI,Apollo Commercial Real Estate Finance Inc
NYSE,ARIS,Aris Water Solutions Inc. Class A Common Stock
NYSE,ARL,American Realty Investors Inc. Common Stock
NYSE,ARLO,Arlo Technologies Inc. Common Stock
NYSE,ARMK,Aramark Common Stock
NYSE,ARNC,Arconic Corporation Common Stock
NYSE,AROC,Archrock Inc. Common Stock
